name,position
ABABA,N563828 E0031931
ABADA,N641556 E0051753
ABANU,N700759 E0260000
ABASU,N683444 E0180100
ABAXI,N664706 E0155233
ABDIG,N621926 E0054729
ABGAB,N664037 E0082718
ABGIM,N705107 E0194751
ABGOR,N633400 E0074800
ABGUN,N683233 E0114943
ABIBU,N703237 E0282254
ABKIL,N685647 E0165746
ABKUL,N685858 E0151953
ABMAT,N625951 E0083747
ABMOK,N564126 E0030708
ABMOT,N705009 E0312745
ABNAG,N685610 E0151822
ABNAX,N612011 E0112512
ABRAK,N652245 E0114819
ABRIR,N652500 E0094917
ABSAD,N631731 E0080724
ABSEB,N632630 E0084311
ABSUK,N681907 E0155405
ABTAM,N673204 E0140359
ABTUS,N681222 E0151208
ABUNO,N620000 E0115624
ABVEL,N680341 E0102906
ADAPU,N695534 E0210010
ADBIT,N675800 E0121352
ADEMA,N740242 E0350000
ADGAS,N695808 E0204442
ADHOW,N612817 E0025640
ADKAS,N662746 E0080627
ADNOT,N582052 E0084301
ADNUM,N632828 E0073101
ADOBO,N680819 E0125840
ADOPI,N601925 E0092300
ADPOX,N631646 E0100834
ADRIP,N663619 E0122654
ADROV,N644446 E0104155
ADSIM,N654100 E0062900
ADUKO,N710530 E0262530
AFAKE,N655132 E0120329
AFEME,N612059 E0111131
AGABO,N700423 E0302535
AGANI,N694055 E0211550
AGATA,N780000 E0350000
AGEKU,N601204 E0081742
AGIXI,N645133 E0053610
AGLEG,N635318 E0105448
AGLIX,N663541 E0144430
AGLOB,N702946 E0305505
AGLOG,N590841 E0024711
AGLUD,N631431 E0073215
AGNIL,N605605 E0104952
AGUVI,N563027 E0033531
AKATI,N700800 E0315900
AKEGO,N643536 E0101501
AKIRI,N633208 E0101921
AKOKU,N660150 E0132833
AKOSU,N611050 E0023929
ALAVU,N623000 E0050500
ALLOY,N612122 E0014718
ALOPA,N693554 E0200000
ALOTI,N575427 E0033630
ALUVA,N592327 E0045810
ALZIL,N702435 E0252328
AMDUD,N582135 E0053623
AMEGI,N625522 E0100951
AMEPA,N640453 E0071403
AMIMO,N675230 E0162629
AMIVO,N641058 E0095107
AMKUX,N603842 E0034325
AMLAB,N611954 E0035342
AMLEV,N634640 E0042738
AMOXA,N620000 E0105134
AMPIS,N775728 E0174305
AMPON,N682705 E0162933
AMSEV,N574030 E0084807
AMTIB,N592352 E0094743
ANDIC,N691716 E0160828
ANDOR,N685426 E0172348
ANETI,N712000 E0273551
APPAQ,N634322 E0093440
APSEL,N624120 E0071226
APSEP,N643410 E0065951
APTAB,N680911 E0143209
APTEK,N631243 E0010055
APVAT,N692953 E0164417
ARDAK,N650000 E0114210
ARDUX,N673640 E0143200
ARKEN,N604551 E0042701
ARMEG,N700446 E0283752
ARNEN,N621618 E0065741
ARNOR,N652720 E0113500
ARPEK,N650635 E0132023
ARPIX,N602907 E0042311
ARPOV,N593016 E0085050
ARTON,N602752 E0031315
ARTOR,N582003 E0100856
ARVIK,N621127 E0053531
ARVIL,N612556 E0043631
ARVIM,N681851 E0140533
ARVOM,N720413 E0300000
ASKEX,N623233 E0053647
ASMEL,N705444 E0292957
ASMID,N593137 E0050433
ASPEP,N600223 E0101509
ASRED,N673149 E0124315
ASRIB,N601927 E0061351
ASTEV,N611918 E0101731
ASTOX,N682704 E0154809
ASVUG,N695552 E0270821
ATJEF,N594441 E0085703
ATKID,N684822 E0160443
ATKUP,N701612 E0320500
ATKUR,N653243 E0135641
ATLAP,N600845 E0094802
